ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-111-LR1,NHS RESURFACING AND MAINTENANCE LUMP SUM - FY 2014-2020,Regional,2020,GDOT,N/A,N/A,N/A,N/A,,Long Range,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,LR 2014-2020,National Highway System,"$95,760,000","$23,940,000","$0,000","$0,000","$119,700,000","$95,760,000","$23,940,000","$0,000","$0,000","$119,700,000"
AR-111-LR2,NHS RESURFACING AND MAINTENANCE LUMP SUM - FY 2021-2030,Regional,2030,GDOT,N/A,N/A,N/A,N/A,,Long Range,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,LR 2021-2030,National Highway System,"$136,800,000","$34,200,000","$0,000","$0,000","$171,000,000","$136,800,000","$34,200,000","$0,000","$0,000","$171,000,000"
AR-113-LR1,STP BRIDGE REPAINTING LUMP SUM - FY 2014-2020,Regional,2020,GDOT,N/A,N/A,N/A,N/A,,Long Range,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,LR 2014-2020,STP - Statewide Flexible (GDOT),"$11,970,000","$2,992,500","$0,000","$0,000","$14,962,500","$11,970,000","$2,992,500","$0,000","$0,000","$14,962,500"
AR-113-LR2,STP BRIDGE REPAINTING LUMP SUM - FY 2021-2030,Regional,2030,GDOT,N/A,N/A,N/A,N/A,,Long Range,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,LR 2021-2030,STP - Statewide Flexible (GDOT),"$17,100,000","$4,275,000","$0,000","$0,000","$21,375,000","$17,100,000","$4,275,000","$0,000","$0,000","$21,375,000"
AR-114-LR1,IM BRIDGE REPAINTING LUMP SUM - FY 2014-2020,Regional,2020,GDOT,N/A,N/A,N/A,N/A,,Long Range,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,LR 2014-2020,Interstate Maintenance,"$26,932,500","$2,992,500","$0,000","$0,000","$29,925,000","$26,932,500","$2,992,500","$0,000","$0,000","$29,925,000"
AR-114-LR2,IM BRIDGE REPAINTING LUMP SUM - FY 2021-2030,Regional,2030,GDOT,N/A,N/A,N/A,N/A,,Long Range,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,LR 2021-2030,Interstate Maintenance,"$38,475,000","$4,275,000","$0,000","$0,000","$42,750,000","$38,475,000","$4,275,000","$0,000","$0,000","$42,750,000"
AR-115-LR1,STP PLANNING AND MANAGEMENT LUMP SUM - FY 2014-2020,Regional,2020,GDOT,N/A,N/A,N/A,N/A,,Long Range,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,LR 2014-2020,STP - Statewide Flexible (GDOT),"$7,182,000","$1,795,500","$0,000","$0,000","$8,977,500","$7,182,000","$1,795,500","$0,000","$0,000","$8,977,500"
AR-115-LR2,STP PLANNING AND MANAGEMENT LUMP SUM - FY 2021-2030,Regional,2030,GDOT,N/A,N/A,N/A,N/A,,Long Range,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,LR 2021-2030,STP - Statewide Flexible (GDOT),"$10,260,000","$2,565,000","$0,000","$0,000","$12,825,000","$10,260,000","$2,565,000","$0,000","$0,000","$12,825,000"
AR-116-LR1,STP WETLAND MITIGATION SITE RESTORATION LUMP SUM - FY 2014-2020,Regional,2020,GDOT,N/A,N/A,N/A,N/A,,Long Range,Other,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,LR 2014-2020,STP - Statewide Flexible (GDOT),"$16,758,000","$4,189,500","$0,000","$0,000","$20,947,500","$16,758,000","$4,189,500","$0,000","$0,000","$20,947,500"
AR-116-LR2,STP WETLAND MITIGATION SITE RESTORATION LUMP SUM - FY 2021-2030,Regional,2030,GDOT,N/A,N/A,N/A,N/A,,Long Range,Other,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,LR 2021-2030,STP - Statewide Flexible (GDOT),"$23,940,000","$5,985,000","$0,000","$0,000","$29,925,000","$23,940,000","$5,985,000","$0,000","$0,000","$29,925,000"
AR-117-LR1,STP RAILROAD/HIGHWAY HAZARD ELIMINATION LUMP SUM - FY 2014-2020,Regional,2020,GDOT,N/A,N/A,N/A,N/A,,Long Range,Roadway Operational Upgrades,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,LR 2014-2020,STP - Rail Hazard Elimination,"$10,773,000","$1,197,000","$0,000","$0,000","$11,970,000","$10,773,000","$1,197,000","$0,000","$0,000","$11,970,000"
AR-117-LR2,STP RAILROAD/HIGHWAY HAZARD ELIMINATION LUMP SUM - FY 2021-2030,Regional,2030,GDOT,N/A,N/A,N/A,N/A,,Long Range,Roadway Operational Upgrades,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,LR 2021-2030,STP - Rail Hazard Elimination,"$15,390,000","$1,710,000","$0,000","$0,000","$17,100,000","$15,390,000","$1,710,000","$0,000","$0,000","$17,100,000"
AR-118-LR1,STP SAFETY LUMP SUM - FY 2014-2020,Regional,2020,GDOT,N/A,N/A,N/A,N/A,,Long Range,Roadway Operational Upgrades,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,LR 2014-2020,STP - Safety,"$131,969,250","$14,663,250","$0,000","$0,000","$146,632,500","$131,969,250","$14,663,250","$0,000","$0,000","$146,632,500"
