ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-5307-BT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR BARTOW COUNTY,Bartow County,2020,Bartow County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Transit Urbanized Area Formula Program,"$31,356","$0,000","$7,839","$0,000","$39,195","$312,685","$0,000","$78,171","$0,000","$390,856"
AR-5307-BT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR BARTOW COUNTY,Bartow County,2020,Bartow County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Transit Urbanized Area Formula Program,"$10,655","$0,000","$2,664","$0,000","$13,319","$312,685","$0,000","$78,171","$0,000","$390,856"
AR-5307-BT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR BARTOW COUNTY,Bartow County,2020,Bartow County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Transit Urbanized Area Formula Program,"$30,765","$0,000","$7,691","$0,000","$38,456","$312,685","$0,000","$78,171","$0,000","$390,856"
AR-5307-BT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR BARTOW COUNTY,Bartow County,2020,Bartow County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Transit Urbanized Area Formula Program,"$35,253","$0,000","$8,813","$0,000","$44,066","$312,685","$0,000","$78,171","$0,000","$390,856"
AR-5307-BT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR BARTOW COUNTY,Bartow County,2020,Bartow County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Transit Urbanized Area Formula Program,"$32,008","$0,000","$8,002","$0,000","$40,010","$312,685","$0,000","$78,171","$0,000","$390,856"
AR-5307-BT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR BARTOW COUNTY,Bartow County,2020,Bartow County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Transit Urbanized Area Formula Program,"$32,648","$0,000","$8,162","$0,000","$40,810","$312,685","$0,000","$78,171","$0,000","$390,856"
AR-5307-BT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR BARTOW COUNTY,Bartow County,2020,Bartow County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Transit Urbanized Area Formula Program,"$35,000","$0,000","$8,750","$0,000","$43,750","$312,685","$0,000","$78,171","$0,000","$390,856"
AR-5307-BT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR BARTOW COUNTY,Bartow County,2020,Bartow County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Transit Urbanized Area Formula Program,"$35,000","$0,000","$8,750","$0,000","$43,750","$312,685","$0,000","$78,171","$0,000","$390,856"
AR-5307-BT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR BARTOW COUNTY,Bartow County,2020,Bartow County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Transit Urbanized Area Formula Program,"$35,000","$0,000","$8,750","$0,000","$43,750","$312,685","$0,000","$78,171","$0,000","$390,856"
AR-5307-BT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR BARTOW COUNTY,Bartow County,2020,Bartow County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,Transit Urbanized Area Formula Program,"$35,000","$0,000","$8,750","$0,000","$43,750","$312,685","$0,000","$78,171","$0,000","$390,856"
