ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-5307-CH,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CHEROKEE COUNTY,Cherokee County,2020,Cherokee County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Transit Urbanized Area Formula Program,"$880,000","$0,000","$220,000","$0,000","$1,100,000","$5,906,203","$0,000","$1,476,550","$0,000","$7,382,753"
AR-5307-CH,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CHEROKEE COUNTY,Cherokee County,2020,Cherokee County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Transit Urbanized Area Formula Program,"$479,601","$0,000","$119,900","$0,000","$599,501","$5,906,203","$0,000","$1,476,550","$0,000","$7,382,753"
AR-5307-CH,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CHEROKEE COUNTY,Cherokee County,2020,Cherokee County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Transit Urbanized Area Formula Program,"$517,908","$0,000","$129,477","$0,000","$647,385","$5,906,203","$0,000","$1,476,550","$0,000","$7,382,753"
AR-5307-CH,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CHEROKEE COUNTY,Cherokee County,2020,Cherokee County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Transit Urbanized Area Formula Program,"$540,253","$0,000","$135,063","$0,000","$675,316","$5,906,203","$0,000","$1,476,550","$0,000","$7,382,753"
AR-5307-CH,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CHEROKEE COUNTY,Cherokee County,2020,Cherokee County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Transit Urbanized Area Formula Program,"$538,832","$0,000","$134,708","$0,000","$673,540","$5,906,203","$0,000","$1,476,550","$0,000","$7,382,753"
AR-5307-CH,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CHEROKEE COUNTY,Cherokee County,2020,Cherokee County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Transit Urbanized Area Formula Program,"$549,609","$0,000","$137,402","$0,000","$687,011","$5,906,203","$0,000","$1,476,550","$0,000","$7,382,753"
AR-5307-CH,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CHEROKEE COUNTY,Cherokee County,2020,Cherokee County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Transit Urbanized Area Formula Program,"$600,000","$0,000","$150,000","$0,000","$750,000","$5,906,203","$0,000","$1,476,550","$0,000","$7,382,753"
AR-5307-CH,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CHEROKEE COUNTY,Cherokee County,2020,Cherokee County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Transit Urbanized Area Formula Program,"$600,000","$0,000","$150,000","$0,000","$750,000","$5,906,203","$0,000","$1,476,550","$0,000","$7,382,753"
AR-5307-CH,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CHEROKEE COUNTY,Cherokee County,2020,Cherokee County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Transit Urbanized Area Formula Program,"$600,000","$0,000","$150,000","$0,000","$750,000","$5,906,203","$0,000","$1,476,550","$0,000","$7,382,753"
AR-5307-CH,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CHEROKEE COUNTY,Cherokee County,2020,Cherokee County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,Transit Urbanized Area Formula Program,"$600,000","$0,000","$150,000","$0,000","$750,000","$5,906,203","$0,000","$1,476,550","$0,000","$7,382,753"
