ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-5307-CL,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CLAYTON COUNTY,Clayton County,2020,Clayton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Transit Urbanized Area Formula Program,"$3,282,406","$0,000","$820,602","$0,000","$4,103,008","$23,769,974","$0,000","$5,942,494","$0,000","$29,712,468"
AR-5307-CL,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CLAYTON COUNTY,Clayton County,2020,Clayton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Transit Urbanized Area Formula Program,"$1,792,888","$0,000","$448,222","$0,000","$2,241,110","$23,769,974","$0,000","$5,942,494","$0,000","$29,712,468"
AR-5307-CL,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CLAYTON COUNTY,Clayton County,2020,Clayton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Transit Urbanized Area Formula Program,"$2,177,105","$0,000","$544,276","$0,000","$2,721,381","$23,769,974","$0,000","$5,942,494","$0,000","$29,712,468"
AR-5307-CL,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CLAYTON COUNTY,Clayton County,2020,Clayton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Transit Urbanized Area Formula Program,"$2,342,155","$0,000","$585,539","$0,000","$2,927,694","$23,769,974","$0,000","$5,942,494","$0,000","$29,712,468"
AR-5307-CL,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CLAYTON COUNTY,Clayton County,2020,Clayton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Transit Urbanized Area Formula Program,"$2,265,060","$0,000","$566,265","$0,000","$2,831,325","$23,769,974","$0,000","$5,942,494","$0,000","$29,712,468"
AR-5307-CL,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CLAYTON COUNTY,Clayton County,2020,Clayton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Transit Urbanized Area Formula Program,"$2,310,360","$0,000","$577,590","$0,000","$2,887,950","$23,769,974","$0,000","$5,942,494","$0,000","$29,712,468"
AR-5307-CL,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CLAYTON COUNTY,Clayton County,2020,Clayton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Transit Urbanized Area Formula Program,"$2,400,000","$0,000","$600,000","$0,000","$3,000,000","$23,769,974","$0,000","$5,942,494","$0,000","$29,712,468"
AR-5307-CL,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CLAYTON COUNTY,Clayton County,2020,Clayton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Transit Urbanized Area Formula Program,"$2,400,000","$0,000","$600,000","$0,000","$3,000,000","$23,769,974","$0,000","$5,942,494","$0,000","$29,712,468"
AR-5307-CL,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CLAYTON COUNTY,Clayton County,2020,Clayton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Transit Urbanized Area Formula Program,"$2,400,000","$0,000","$600,000","$0,000","$3,000,000","$23,769,974","$0,000","$5,942,494","$0,000","$29,712,468"
AR-5307-CL,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR CLAYTON COUNTY,Clayton County,2020,Clayton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,Transit Urbanized Area Formula Program,"$2,400,000","$0,000","$600,000","$0,000","$3,000,000","$23,769,974","$0,000","$5,942,494","$0,000","$29,712,468"
