ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-5307-CW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR COWETA COUNTY,Coweta County,2020,Coweta County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Transit Urbanized Area Formula Program,"$103,426","$0,000","$25,857","$0,000","$129,283","$1,061,476","$0,000","$265,369","$0,000","$1,326,845"
AR-5307-CW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR COWETA COUNTY,Coweta County,2020,Coweta County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Transit Urbanized Area Formula Program,"$87,027","$0,000","$21,757","$0,000","$108,784","$1,061,476","$0,000","$265,369","$0,000","$1,326,845"
AR-5307-CW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR COWETA COUNTY,Coweta County,2020,Coweta County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Transit Urbanized Area Formula Program,"$101,477","$0,000","$25,369","$0,000","$126,846","$1,061,476","$0,000","$265,369","$0,000","$1,326,845"
AR-5307-CW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR COWETA COUNTY,Coweta County,2020,Coweta County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Transit Urbanized Area Formula Program,"$116,281","$0,000","$29,070","$0,000","$145,351","$1,061,476","$0,000","$265,369","$0,000","$1,326,845"
AR-5307-CW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR COWETA COUNTY,Coweta County,2020,Coweta County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Transit Urbanized Area Formula Program,"$105,577","$0,000","$26,394","$0,000","$131,971","$1,061,476","$0,000","$265,369","$0,000","$1,326,845"
AR-5307-CW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR COWETA COUNTY,Coweta County,2020,Coweta County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Transit Urbanized Area Formula Program,"$107,688","$0,000","$26,922","$0,000","$134,610","$1,061,476","$0,000","$265,369","$0,000","$1,326,845"
AR-5307-CW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR COWETA COUNTY,Coweta County,2020,Coweta County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Transit Urbanized Area Formula Program,"$110,000","$0,000","$27,500","$0,000","$137,500","$1,061,476","$0,000","$265,369","$0,000","$1,326,845"
AR-5307-CW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR COWETA COUNTY,Coweta County,2020,Coweta County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Transit Urbanized Area Formula Program,"$110,000","$0,000","$27,500","$0,000","$137,500","$1,061,476","$0,000","$265,369","$0,000","$1,326,845"
AR-5307-CW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR COWETA COUNTY,Coweta County,2020,Coweta County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Transit Urbanized Area Formula Program,"$110,000","$0,000","$27,500","$0,000","$137,500","$1,061,476","$0,000","$265,369","$0,000","$1,326,845"
AR-5307-CW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR COWETA COUNTY,Coweta County,2020,Coweta County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,Transit Urbanized Area Formula Program,"$110,000","$0,000","$27,500","$0,000","$137,500","$1,061,476","$0,000","$265,369","$0,000","$1,326,845"
