ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-5307-DO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR DOUGLAS COUNTY,Douglas County,2020,Douglas County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Transit Urbanized Area Formula Program,"$714,197","$0,000","$178,549","$0,000","$892,746","$7,904,750","$0,000","$1,976,187","$0,000","$9,880,937"
AR-5307-DO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR DOUGLAS COUNTY,Douglas County,2020,Douglas County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Transit Urbanized Area Formula Program,"$632,677","$0,000","$158,169","$0,000","$790,846","$7,904,750","$0,000","$1,976,187","$0,000","$9,880,937"
AR-5307-DO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR DOUGLAS COUNTY,Douglas County,2020,Douglas County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Transit Urbanized Area Formula Program,"$717,927","$0,000","$179,482","$0,000","$897,409","$7,904,750","$0,000","$1,976,187","$0,000","$9,880,937"
AR-5307-DO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR DOUGLAS COUNTY,Douglas County,2020,Douglas County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Transit Urbanized Area Formula Program,"$1,131,148","$0,000","$282,787","$0,000","$1,413,935","$7,904,750","$0,000","$1,976,187","$0,000","$9,880,937"
AR-5307-DO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR DOUGLAS COUNTY,Douglas County,2020,Douglas County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Transit Urbanized Area Formula Program,"$746,931","$0,000","$186,733","$0,000","$933,664","$7,904,750","$0,000","$1,976,187","$0,000","$9,880,937"
AR-5307-DO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR DOUGLAS COUNTY,Douglas County,2020,Douglas County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Transit Urbanized Area Formula Program,"$761,870","$0,000","$190,467","$0,000","$952,337","$7,904,750","$0,000","$1,976,187","$0,000","$9,880,937"
AR-5307-DO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR DOUGLAS COUNTY,Douglas County,2020,Douglas County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Transit Urbanized Area Formula Program,"$800,000","$0,000","$200,000","$0,000","$1,000,000","$7,904,750","$0,000","$1,976,187","$0,000","$9,880,937"
AR-5307-DO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR DOUGLAS COUNTY,Douglas County,2020,Douglas County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Transit Urbanized Area Formula Program,"$800,000","$0,000","$200,000","$0,000","$1,000,000","$7,904,750","$0,000","$1,976,187","$0,000","$9,880,937"
AR-5307-DO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR DOUGLAS COUNTY,Douglas County,2020,Douglas County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Transit Urbanized Area Formula Program,"$800,000","$0,000","$200,000","$0,000","$1,000,000","$7,904,750","$0,000","$1,976,187","$0,000","$9,880,937"
AR-5307-DO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR DOUGLAS COUNTY,Douglas County,2020,Douglas County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,Transit Urbanized Area Formula Program,"$800,000","$0,000","$200,000","$0,000","$1,000,000","$7,904,750","$0,000","$1,976,187","$0,000","$9,880,937"
