ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-5307-FT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FORSYTH COUNTY,Forsyth County,2020,Forsyth County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Transit Urbanized Area Formula Program,"$261,784","$0,000","$65,446","$0,000","$327,230","$2,693,040","$0,000","$673,259","$0,000","$3,366,299"
AR-5307-FT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FORSYTH COUNTY,Forsyth County,2020,Forsyth County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Transit Urbanized Area Formula Program,"$220,277","$0,000","$55,069","$0,000","$275,346","$2,693,040","$0,000","$673,259","$0,000","$3,366,299"
AR-5307-FT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FORSYTH COUNTY,Forsyth County,2020,Forsyth County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Transit Urbanized Area Formula Program,"$256,853","$0,000","$64,213","$0,000","$321,066","$2,693,040","$0,000","$673,259","$0,000","$3,366,299"
AR-5307-FT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FORSYTH COUNTY,Forsyth County,2020,Forsyth County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Transit Urbanized Area Formula Program,"$294,322","$0,000","$73,580","$0,000","$367,902","$2,693,040","$0,000","$673,259","$0,000","$3,366,299"
AR-5307-FT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FORSYTH COUNTY,Forsyth County,2020,Forsyth County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Transit Urbanized Area Formula Program,"$267,230","$0,000","$66,807","$0,000","$334,037","$2,693,040","$0,000","$673,259","$0,000","$3,366,299"
AR-5307-FT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FORSYTH COUNTY,Forsyth County,2020,Forsyth County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Transit Urbanized Area Formula Program,"$272,574","$0,000","$68,144","$0,000","$340,718","$2,693,040","$0,000","$673,259","$0,000","$3,366,299"
AR-5307-FT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FORSYTH COUNTY,Forsyth County,2020,Forsyth County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Transit Urbanized Area Formula Program,"$280,000","$0,000","$70,000","$0,000","$350,000","$2,693,040","$0,000","$673,259","$0,000","$3,366,299"
AR-5307-FT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FORSYTH COUNTY,Forsyth County,2020,Forsyth County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Transit Urbanized Area Formula Program,"$280,000","$0,000","$70,000","$0,000","$350,000","$2,693,040","$0,000","$673,259","$0,000","$3,366,299"
AR-5307-FT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FORSYTH COUNTY,Forsyth County,2020,Forsyth County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Transit Urbanized Area Formula Program,"$280,000","$0,000","$70,000","$0,000","$350,000","$2,693,040","$0,000","$673,259","$0,000","$3,366,299"
AR-5307-FT,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FORSYTH COUNTY,Forsyth County,2020,Forsyth County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,Transit Urbanized Area Formula Program,"$280,000","$0,000","$70,000","$0,000","$350,000","$2,693,040","$0,000","$673,259","$0,000","$3,366,299"
