ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-5307-GW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR GWINNETT COUNTY,Gwinnett County,2020,Gwinnett County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Transit Urbanized Area Formula Program,"$6,514,590","$0,000","$1,628,648","$0,000","$8,143,238","$64,680,753","$0,000","$16,170,189","$0,000","$80,850,942"
AR-5307-GW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR GWINNETT COUNTY,Gwinnett County,2020,Gwinnett County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Transit Urbanized Area Formula Program,"$5,475,163","$0,000","$1,368,791","$0,000","$6,843,954","$64,680,753","$0,000","$16,170,189","$0,000","$80,850,942"
AR-5307-GW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR GWINNETT COUNTY,Gwinnett County,2020,Gwinnett County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Transit Urbanized Area Formula Program,"$6,163,625","$0,000","$1,540,906","$0,000","$7,704,531","$64,680,753","$0,000","$16,170,189","$0,000","$80,850,942"
AR-5307-GW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR GWINNETT COUNTY,Gwinnett County,2020,Gwinnett County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Transit Urbanized Area Formula Program,"$7,173,851","$0,000","$1,793,463","$0,000","$8,967,314","$64,680,753","$0,000","$16,170,189","$0,000","$80,850,942"
AR-5307-GW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR GWINNETT COUNTY,Gwinnett County,2020,Gwinnett County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Transit Urbanized Area Formula Program,"$6,412,636","$0,000","$1,603,159","$0,000","$8,015,795","$64,680,753","$0,000","$16,170,189","$0,000","$80,850,942"
AR-5307-GW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR GWINNETT COUNTY,Gwinnett County,2020,Gwinnett County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Transit Urbanized Area Formula Program,"$6,540,888","$0,000","$1,635,222","$0,000","$8,176,110","$64,680,753","$0,000","$16,170,189","$0,000","$80,850,942"
AR-5307-GW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR GWINNETT COUNTY,Gwinnett County,2020,Gwinnett County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Transit Urbanized Area Formula Program,"$6,600,000","$0,000","$1,650,000","$0,000","$8,250,000","$64,680,753","$0,000","$16,170,189","$0,000","$80,850,942"
AR-5307-GW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR GWINNETT COUNTY,Gwinnett County,2020,Gwinnett County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Transit Urbanized Area Formula Program,"$6,600,000","$0,000","$1,650,000","$0,000","$8,250,000","$64,680,753","$0,000","$16,170,189","$0,000","$80,850,942"
AR-5307-GW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR GWINNETT COUNTY,Gwinnett County,2020,Gwinnett County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Transit Urbanized Area Formula Program,"$6,600,000","$0,000","$1,650,000","$0,000","$8,250,000","$64,680,753","$0,000","$16,170,189","$0,000","$80,850,942"
AR-5307-GW,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR GWINNETT COUNTY,Gwinnett County,2020,Gwinnett County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,Transit Urbanized Area Formula Program,"$6,600,000","$0,000","$1,650,000","$0,000","$8,250,000","$64,680,753","$0,000","$16,170,189","$0,000","$80,850,942"
