ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-5307-HE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR HENRY COUNTY,Henry County,2020,Henry County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Transit Urbanized Area Formula Program,"$357,264","$0,000","$89,316","$0,000","$446,580","$3,492,457","$0,000","$873,113","$0,000","$4,365,570"
AR-5307-HE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR HENRY COUNTY,Henry County,2020,Henry County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Transit Urbanized Area Formula Program,"$126,306","$0,000","$31,576","$0,000","$157,882","$3,492,457","$0,000","$873,113","$0,000","$4,365,570"
AR-5307-HE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR HENRY COUNTY,Henry County,2020,Henry County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Transit Urbanized Area Formula Program,"$350,534","$0,000","$87,633","$0,000","$438,167","$3,492,457","$0,000","$873,113","$0,000","$4,365,570"
AR-5307-HE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR HENRY COUNTY,Henry County,2020,Henry County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Transit Urbanized Area Formula Program,"$401,669","$0,000","$100,417","$0,000","$502,086","$3,492,457","$0,000","$873,113","$0,000","$4,365,570"
AR-5307-HE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR HENRY COUNTY,Henry County,2020,Henry County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Transit Urbanized Area Formula Program,"$364,695","$0,000","$91,174","$0,000","$455,869","$3,492,457","$0,000","$873,113","$0,000","$4,365,570"
AR-5307-HE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR HENRY COUNTY,Henry County,2020,Henry County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Transit Urbanized Area Formula Program,"$371,989","$0,000","$92,997","$0,000","$464,986","$3,492,457","$0,000","$873,113","$0,000","$4,365,570"
AR-5307-HE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR HENRY COUNTY,Henry County,2020,Henry County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Transit Urbanized Area Formula Program,"$380,000","$0,000","$95,000","$0,000","$475,000","$3,492,457","$0,000","$873,113","$0,000","$4,365,570"
AR-5307-HE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR HENRY COUNTY,Henry County,2020,Henry County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Transit Urbanized Area Formula Program,"$380,000","$0,000","$95,000","$0,000","$475,000","$3,492,457","$0,000","$873,113","$0,000","$4,365,570"
AR-5307-HE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR HENRY COUNTY,Henry County,2020,Henry County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Transit Urbanized Area Formula Program,"$380,000","$0,000","$95,000","$0,000","$475,000","$3,492,457","$0,000","$873,113","$0,000","$4,365,570"
AR-5307-HE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR HENRY COUNTY,Henry County,2020,Henry County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,Transit Urbanized Area Formula Program,"$380,000","$0,000","$95,000","$0,000","$475,000","$3,492,457","$0,000","$873,113","$0,000","$4,365,570"
