ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-5307-RO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR ROCKDALE COUNTY,Rockdale County,2020,Rockdale County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Transit Urbanized Area Formula Program,"$266,129","$0,000","$66,532","$0,000","$332,661","$2,199,664","$0,000","$549,915","$0,000","$2,749,579"
AR-5307-RO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR ROCKDALE COUNTY,Rockdale County,2020,Rockdale County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Transit Urbanized Area Formula Program,"$223,933","$0,000","$55,983","$0,000","$279,916","$2,199,664","$0,000","$549,915","$0,000","$2,749,579"
AR-5307-RO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR ROCKDALE COUNTY,Rockdale County,2020,Rockdale County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Transit Urbanized Area Formula Program,"$40,839","$0,000","$10,210","$0,000","$51,049","$2,199,664","$0,000","$549,915","$0,000","$2,749,579"
AR-5307-RO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR ROCKDALE COUNTY,Rockdale County,2020,Rockdale County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Transit Urbanized Area Formula Program,"$0,000","$0,000","$0,000","$0,000","$0,000","$2,199,664","$0,000","$549,915","$0,000","$2,749,579"
AR-5307-RO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR ROCKDALE COUNTY,Rockdale County,2020,Rockdale County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Transit Urbanized Area Formula Program,"$271,665","$0,000","$67,916","$0,000","$339,581","$2,199,664","$0,000","$549,915","$0,000","$2,749,579"
AR-5307-RO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR ROCKDALE COUNTY,Rockdale County,2020,Rockdale County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Transit Urbanized Area Formula Program,"$277,098","$0,000","$69,274","$0,000","$346,372","$2,199,664","$0,000","$549,915","$0,000","$2,749,579"
AR-5307-RO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR ROCKDALE COUNTY,Rockdale County,2020,Rockdale County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Transit Urbanized Area Formula Program,"$280,000","$0,000","$70,000","$0,000","$350,000","$2,199,664","$0,000","$549,915","$0,000","$2,749,579"
AR-5307-RO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR ROCKDALE COUNTY,Rockdale County,2020,Rockdale County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Transit Urbanized Area Formula Program,"$280,000","$0,000","$70,000","$0,000","$350,000","$2,199,664","$0,000","$549,915","$0,000","$2,749,579"
AR-5307-RO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR ROCKDALE COUNTY,Rockdale County,2020,Rockdale County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Transit Urbanized Area Formula Program,"$280,000","$0,000","$70,000","$0,000","$350,000","$2,199,664","$0,000","$549,915","$0,000","$2,749,579"
AR-5307-RO,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR ROCKDALE COUNTY,Rockdale County,2020,Rockdale County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,Transit Urbanized Area Formula Program,"$280,000","$0,000","$70,000","$0,000","$350,000","$2,199,664","$0,000","$549,915","$0,000","$2,749,579"
