ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-5307-WA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR WALTON COUNTY,Walton County,2020,Walton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Transit Urbanized Area Formula Program,"$33,304","$0,000","$8,326","$0,000","$41,630","$289,973","$0,000","$72,493","$0,000","$362,466"
AR-5307-WA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR WALTON COUNTY,Walton County,2020,Walton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Transit Urbanized Area Formula Program,"$11,318","$0,000","$2,830","$0,000","$14,148","$289,973","$0,000","$72,493","$0,000","$362,466"
AR-5307-WA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR WALTON COUNTY,Walton County,2020,Walton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Transit Urbanized Area Formula Program,"$32,677","$0,000","$8,169","$0,000","$40,846","$289,973","$0,000","$72,493","$0,000","$362,466"
AR-5307-WA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR WALTON COUNTY,Walton County,2020,Walton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Transit Urbanized Area Formula Program,"$0,000","$0,000","$0,000","$0,000","$0,000","$289,973","$0,000","$72,493","$0,000","$362,466"
AR-5307-WA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR WALTON COUNTY,Walton County,2020,Walton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Transit Urbanized Area Formula Program,"$33,997","$0,000","$8,499","$0,000","$42,496","$289,973","$0,000","$72,493","$0,000","$362,466"
AR-5307-WA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR WALTON COUNTY,Walton County,2020,Walton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Transit Urbanized Area Formula Program,"$34,677","$0,000","$8,669","$0,000","$43,346","$289,973","$0,000","$72,493","$0,000","$362,466"
AR-5307-WA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR WALTON COUNTY,Walton County,2020,Walton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Transit Urbanized Area Formula Program,"$36,000","$0,000","$9,000","$0,000","$45,000","$289,973","$0,000","$72,493","$0,000","$362,466"
AR-5307-WA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR WALTON COUNTY,Walton County,2020,Walton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Transit Urbanized Area Formula Program,"$36,000","$0,000","$9,000","$0,000","$45,000","$289,973","$0,000","$72,493","$0,000","$362,466"
AR-5307-WA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR WALTON COUNTY,Walton County,2020,Walton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Transit Urbanized Area Formula Program,"$36,000","$0,000","$9,000","$0,000","$45,000","$289,973","$0,000","$72,493","$0,000","$362,466"
AR-5307-WA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR WALTON COUNTY,Walton County,2020,Walton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,Transit Urbanized Area Formula Program,"$36,000","$0,000","$9,000","$0,000","$45,000","$289,973","$0,000","$72,493","$0,000","$362,466"
