ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-5309-CO,FTA SECTION 5309 RAIL MODERNIZATION FUNDS - CCT TRANSIT FACILITIES,Cobb County,2020,Cobb Community Transit,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Rail Modern - Fixed Guideway (80/20),"$309,560","$87,064","$87,064","$0,000","$483,688","$3,431,219","$435,320","$906,179","$0,000","$4,772,718"
AR-5309-CO,FTA SECTION 5309 RAIL MODERNIZATION FUNDS - CCT TRANSIT FACILITIES,Cobb County,2020,Cobb Community Transit,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Rail Modern - Fixed Guideway (80/20),"$603,419","$0,000","$150,859","$0,000","$754,278","$3,431,219","$435,320","$906,179","$0,000","$4,772,718"
AR-5309-CO,FTA SECTION 5309 RAIL MODERNIZATION FUNDS - CCT TRANSIT FACILITIES,Cobb County,2020,Cobb Community Transit,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Rail Modern - Fixed Guideway (80/20),"$309,560","$87,064","$87,064","$0,000","$483,688","$3,431,219","$435,320","$906,179","$0,000","$4,772,718"
AR-5309-CO,FTA SECTION 5309 RAIL MODERNIZATION FUNDS - CCT TRANSIT FACILITIES,Cobb County,2020,Cobb Community Transit,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Rail Modern - Fixed Guideway (80/20),"$309,560","$87,064","$87,064","$0,000","$483,688","$3,431,219","$435,320","$906,179","$0,000","$4,772,718"
AR-5309-CO,FTA SECTION 5309 RAIL MODERNIZATION FUNDS - CCT TRANSIT FACILITIES,Cobb County,2020,Cobb Community Transit,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Rail Modern - Fixed Guideway (80/20),"$309,560","$87,064","$87,064","$0,000","$483,688","$3,431,219","$435,320","$906,179","$0,000","$4,772,718"
AR-5309-CO,FTA SECTION 5309 RAIL MODERNIZATION FUNDS - CCT TRANSIT FACILITIES,Cobb County,2020,Cobb Community Transit,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Rail Modern - Fixed Guideway (80/20),"$309,560","$87,064","$87,064","$0,000","$483,688","$3,431,219","$435,320","$906,179","$0,000","$4,772,718"
AR-5309-CO,FTA SECTION 5309 RAIL MODERNIZATION FUNDS - CCT TRANSIT FACILITIES,Cobb County,2020,Cobb Community Transit,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Rail Modern - Fixed Guideway (80/20),"$320,000","$0,000","$80,000","$0,000","$400,000","$3,431,219","$435,320","$906,179","$0,000","$4,772,718"
AR-5309-CO,FTA SECTION 5309 RAIL MODERNIZATION FUNDS - CCT TRANSIT FACILITIES,Cobb County,2020,Cobb Community Transit,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Rail Modern - Fixed Guideway (80/20),"$320,000","$0,000","$80,000","$0,000","$400,000","$3,431,219","$435,320","$906,179","$0,000","$4,772,718"
AR-5309-CO,FTA SECTION 5309 RAIL MODERNIZATION FUNDS - CCT TRANSIT FACILITIES,Cobb County,2020,Cobb Community Transit,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Rail Modern - Fixed Guideway (80/20),"$320,000","$0,000","$80,000","$0,000","$400,000","$3,431,219","$435,320","$906,179","$0,000","$4,772,718"
AR-5309-CO,FTA SECTION 5309 RAIL MODERNIZATION FUNDS - CCT TRANSIT FACILITIES,Cobb County,2020,Cobb Community Transit,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,Rail Modern - Fixed Guideway (80/20),"$320,000","$0,000","$80,000","$0,000","$400,000","$3,431,219","$435,320","$906,179","$0,000","$4,772,718"
