ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-5311,NONURBANIZED AREA SECTION 5311 TRANSIT FORMULA PROGRAM - REGIONAL LUMP SUM,Regional,2020,TBD,N/A,N/A,N/A,TBD,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Transit Nonurbanized Area Formula,"$668,170","$0,000","$167,043","$0,000","$835,213","$7,254,897","$0,000","$1,813,730","$0,000","$9,068,627"
AR-5311,NONURBANIZED AREA SECTION 5311 TRANSIT FORMULA PROGRAM - REGIONAL LUMP SUM,Regional,2020,TBD,N/A,N/A,N/A,TBD,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Transit Nonurbanized Area Formula,"$681,533","$0,000","$170,388","$0,000","$851,921","$7,254,897","$0,000","$1,813,730","$0,000","$9,068,627"
AR-5311,NONURBANIZED AREA SECTION 5311 TRANSIT FORMULA PROGRAM - REGIONAL LUMP SUM,Regional,2020,TBD,N/A,N/A,N/A,TBD,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Transit Nonurbanized Area Formula,"$695,164","$0,000","$173,791","$0,000","$868,955","$7,254,897","$0,000","$1,813,730","$0,000","$9,068,627"
AR-5311,NONURBANIZED AREA SECTION 5311 TRANSIT FORMULA PROGRAM - REGIONAL LUMP SUM,Regional,2020,TBD,N/A,N/A,N/A,TBD,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Transit Nonurbanized Area Formula,"$709,067","$0,000","$177,267","$0,000","$886,334","$7,254,897","$0,000","$1,813,730","$0,000","$9,068,627"
AR-5311,NONURBANIZED AREA SECTION 5311 TRANSIT FORMULA PROGRAM - REGIONAL LUMP SUM,Regional,2020,TBD,N/A,N/A,N/A,TBD,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Transit Nonurbanized Area Formula,"$723,249","$0,000","$180,812","$0,000","$904,061","$7,254,897","$0,000","$1,813,730","$0,000","$9,068,627"
AR-5311,NONURBANIZED AREA SECTION 5311 TRANSIT FORMULA PROGRAM - REGIONAL LUMP SUM,Regional,2020,TBD,N/A,N/A,N/A,TBD,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Transit Nonurbanized Area Formula,"$737,714","$0,000","$184,429","$0,000","$922,143","$7,254,897","$0,000","$1,813,730","$0,000","$9,068,627"
AR-5311,NONURBANIZED AREA SECTION 5311 TRANSIT FORMULA PROGRAM - REGIONAL LUMP SUM,Regional,2020,TBD,N/A,N/A,N/A,TBD,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Transit Nonurbanized Area Formula,"$760,000","$0,000","$190,000","$0,000","$950,000","$7,254,897","$0,000","$1,813,730","$0,000","$9,068,627"
AR-5311,NONURBANIZED AREA SECTION 5311 TRANSIT FORMULA PROGRAM - REGIONAL LUMP SUM,Regional,2020,TBD,N/A,N/A,N/A,TBD,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Transit Nonurbanized Area Formula,"$760,000","$0,000","$190,000","$0,000","$950,000","$7,254,897","$0,000","$1,813,730","$0,000","$9,068,627"
AR-5311,NONURBANIZED AREA SECTION 5311 TRANSIT FORMULA PROGRAM - REGIONAL LUMP SUM,Regional,2020,TBD,N/A,N/A,N/A,TBD,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Transit Nonurbanized Area Formula,"$760,000","$0,000","$190,000","$0,000","$950,000","$7,254,897","$0,000","$1,813,730","$0,000","$9,068,627"
AR-5311,NONURBANIZED AREA SECTION 5311 TRANSIT FORMULA PROGRAM - REGIONAL LUMP SUM,Regional,2020,TBD,N/A,N/A,N/A,TBD,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,Transit Nonurbanized Area Formula,"$760,000","$0,000","$190,000","$0,000","$950,000","$7,254,897","$0,000","$1,813,730","$0,000","$9,068,627"
