ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-ML-930,NORTHWEST CORRIDOR (I-75 AND I-575) MANAGED LANES,Regional - Northwest,2020,GDOT,0,1/2,29.7,0008256,AT AKERS MILL ROAD TO HICKORY GROVE ROAD ON I-75 AND FROM I-75 TO SIXES ROAD ON I-575,Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,PE,  ,2012,STP - Urban (>200K) (ARC),"$28,000,000","$7,000,000","$0,000","$0,000","$35,000,000","$128,800,000","$32,200,000","$1,026,100,000","$250,000,000","$1,437,100,000"
AR-ML-930,NORTHWEST CORRIDOR (I-75 AND I-575) MANAGED LANES,Regional - Northwest,2020,GDOT,0,1/2,29.7,0008256,AT AKERS MILL ROAD TO HICKORY GROVE ROAD ON I-75 AND FROM I-75 TO SIXES ROAD ON I-575,Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,ROW,  ,2012,National Highway System,"$19,468,148","$4,867,037","$0,000","$0,000","$24,335,185","$128,800,000","$32,200,000","$1,026,100,000","$250,000,000","$1,437,100,000"
AR-ML-930,NORTHWEST CORRIDOR (I-75 AND I-575) MANAGED LANES,Regional - Northwest,2020,GDOT,0,1/2,29.7,0008256,AT AKERS MILL ROAD TO HICKORY GROVE ROAD ON I-75 AND FROM I-75 TO SIXES ROAD ON I-575,Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,ROW,  ,2012,SAFETEA-LU Earmark,"$899,900","$224,975","$0,000","$0,000","$1,124,875","$128,800,000","$32,200,000","$1,026,100,000","$250,000,000","$1,437,100,000"
AR-ML-930,NORTHWEST CORRIDOR (I-75 AND I-575) MANAGED LANES,Regional - Northwest,2020,GDOT,0,1/2,29.7,0008256,AT AKERS MILL ROAD TO HICKORY GROVE ROAD ON I-75 AND FROM I-75 TO SIXES ROAD ON I-575,Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,ROW,  ,2012,SAFETEA-LU Earmark,"$431,952","$107,988","$0,000","$0,000","$539,940","$128,800,000","$32,200,000","$1,026,100,000","$250,000,000","$1,437,100,000"
AR-ML-930,NORTHWEST CORRIDOR (I-75 AND I-575) MANAGED LANES,Regional - Northwest,2020,GDOT,0,1/2,29.7,0008256,AT AKERS MILL ROAD TO HICKORY GROVE ROAD ON I-75 AND FROM I-75 TO SIXES ROAD ON I-575,Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,CST,  ,2012,GRV BONDS (GARVEE Bond Program),"$0,000","$0,000","$0,000","$125,000,000","$125,000,000","$128,800,000","$32,200,000","$1,026,100,000","$250,000,000","$1,437,100,000"
AR-ML-930,NORTHWEST CORRIDOR (I-75 AND I-575) MANAGED LANES,Regional - Northwest,2020,GDOT,0,1/2,29.7,0008256,AT AKERS MILL ROAD TO HICKORY GROVE ROAD ON I-75 AND FROM I-75 TO SIXES ROAD ON I-575,Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,CST,  ,2013,National Highway System,"$20,000,000","$5,000,000","$0,000","$0,000","$25,000,000","$128,800,000","$32,200,000","$1,026,100,000","$250,000,000","$1,437,100,000"
AR-ML-930,NORTHWEST CORRIDOR (I-75 AND I-575) MANAGED LANES,Regional - Northwest,2020,GDOT,0,1/2,29.7,0008256,AT AKERS MILL ROAD TO HICKORY GROVE ROAD ON I-75 AND FROM I-75 TO SIXES ROAD ON I-575,Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,CST,  ,2014,GRV BONDS (GARVEE Bond Program),"$0,000","$0,000","$0,000","$125,000,000","$125,000,000","$128,800,000","$32,200,000","$1,026,100,000","$250,000,000","$1,437,100,000"
AR-ML-930,NORTHWEST CORRIDOR (I-75 AND I-575) MANAGED LANES,Regional - Northwest,2020,GDOT,0,1/2,29.7,0008256,AT AKERS MILL ROAD TO HICKORY GROVE ROAD ON I-75 AND FROM I-75 TO SIXES ROAD ON I-575,Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,CST,  ,2014,National Highway System,"$20,000,000","$5,000,000","$0,000","$0,000","$25,000,000","$128,800,000","$32,200,000","$1,026,100,000","$250,000,000","$1,437,100,000"
AR-ML-930,NORTHWEST CORRIDOR (I-75 AND I-575) MANAGED LANES,Regional - Northwest,2020,GDOT,0,1/2,29.7,0008256,AT AKERS MILL ROAD TO HICKORY GROVE ROAD ON I-75 AND FROM I-75 TO SIXES ROAD ON I-575,Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,CST,  ,2014,Public Private Partnership,"$0,000","$0,000","$1,026,100,000","$0,000","$1,026,100,000","$128,800,000","$32,200,000","$1,026,100,000","$250,000,000","$1,437,100,000"
AR-ML-930,NORTHWEST CORRIDOR (I-75 AND I-575) MANAGED LANES,Regional - Northwest,2020,GDOT,0,1/2,29.7,0008256,AT AKERS MILL ROAD TO HICKORY GROVE ROAD ON I-75 AND FROM I-75 TO SIXES ROAD ON I-575,Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,CST,  ,2015,National Highway System,"$20,000,000","$5,000,000","$0,000","$0,000","$25,000,000","$128,800,000","$32,200,000","$1,026,100,000","$250,000,000","$1,437,100,000"
AR-ML-930,NORTHWEST CORRIDOR (I-75 AND I-575) MANAGED LANES,Regional - Northwest,2020,GDOT,0,1/2,29.7,0008256,AT AKERS MILL ROAD TO HICKORY GROVE ROAD ON I-75 AND FROM I-75 TO SIXES ROAD ON I-575,Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,CST,  ,2016,National Highway System,"$20,000,000","$5,000,000","$0,000","$0,000","$25,000,000","$128,800,000","$32,200,000","$1,026,100,000","$250,000,000","$1,437,100,000"
