ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
M-AR-274B3,CLEAN BUS PROCUREMENT,Regional - Central,2020,MARTA,N/A,N/A,N/A,N/A,,Programmed,Transit / Bus Capital,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Clean Fuels Formula Program,"$2,587,000","$0,000","$646,750","$0,000","$3,233,750","$30,479,000","$0,000","$7,619,750","$0,000","$38,098,750"
M-AR-274B3,CLEAN BUS PROCUREMENT,Regional - Central,2020,MARTA,N/A,N/A,N/A,N/A,,Programmed,Transit / Bus Capital,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Clean Fuels Formula Program,"$2,742,000","$0,000","$685,500","$0,000","$3,427,500","$30,479,000","$0,000","$7,619,750","$0,000","$38,098,750"
M-AR-274B3,CLEAN BUS PROCUREMENT,Regional - Central,2020,MARTA,N/A,N/A,N/A,N/A,,Programmed,Transit / Bus Capital,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Clean Fuels Formula Program,"$0,000","$0,000","$0,000","$0,000","$0,000","$30,479,000","$0,000","$7,619,750","$0,000","$38,098,750"
M-AR-274B3,CLEAN BUS PROCUREMENT,Regional - Central,2020,MARTA,N/A,N/A,N/A,N/A,,Programmed,Transit / Bus Capital,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Clean Fuels Formula Program,"$3,200,000","$0,000","$800,000","$0,000","$4,000,000","$30,479,000","$0,000","$7,619,750","$0,000","$38,098,750"
M-AR-274B3,CLEAN BUS PROCUREMENT,Regional - Central,2020,MARTA,N/A,N/A,N/A,N/A,,Programmed,Transit / Bus Capital,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Clean Fuels Formula Program,"$3,450,000","$0,000","$862,500","$0,000","$4,312,500","$30,479,000","$0,000","$7,619,750","$0,000","$38,098,750"
M-AR-274B3,CLEAN BUS PROCUREMENT,Regional - Central,2020,MARTA,N/A,N/A,N/A,N/A,,Programmed,Transit / Bus Capital,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Clean Fuels Formula Program,"$3,700,000","$0,000","$925,000","$0,000","$4,625,000","$30,479,000","$0,000","$7,619,750","$0,000","$38,098,750"
M-AR-274B3,CLEAN BUS PROCUREMENT,Regional - Central,2020,MARTA,N/A,N/A,N/A,N/A,,Programmed,Transit / Bus Capital,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Clean Fuels Formula Program,"$3,700,000","$0,000","$925,000","$0,000","$4,625,000","$30,479,000","$0,000","$7,619,750","$0,000","$38,098,750"
M-AR-274B3,CLEAN BUS PROCUREMENT,Regional - Central,2020,MARTA,N/A,N/A,N/A,N/A,,Programmed,Transit / Bus Capital,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Clean Fuels Formula Program,"$3,700,000","$0,000","$925,000","$0,000","$4,625,000","$30,479,000","$0,000","$7,619,750","$0,000","$38,098,750"
M-AR-274B3,CLEAN BUS PROCUREMENT,Regional - Central,2020,MARTA,N/A,N/A,N/A,N/A,,Programmed,Transit / Bus Capital,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Clean Fuels Formula Program,"$3,700,000","$0,000","$925,000","$0,000","$4,625,000","$30,479,000","$0,000","$7,619,750","$0,000","$38,098,750"
M-AR-274B3,CLEAN BUS PROCUREMENT,Regional - Central,2020,MARTA,N/A,N/A,N/A,N/A,,Programmed,Transit / Bus Capital,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,Clean Fuels Formula Program,"$3,700,000","$0,000","$925,000","$0,000","$4,625,000","$30,479,000","$0,000","$7,619,750","$0,000","$38,098,750"
