ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
PA-016,EAST HIRAM PARKWAY,Paulding County,2020,GRTA,0,4,2.9,0004688,"FROM INTERSECTION OF SR 92 (HIRAM DOUGLASVILLE HIGHWAY) AND BILL CARRUTH PARKWAY TO US 278 (JIMMY LEE SMITH PARKWAY) AT CLEBURNE PARKWAY / POPLAR SPRINGS ROAD [See also 0008805, 0008806, 0008807]",Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,PE,AUTH,AUTH,State Bonds,"$0,000","$0,000","$0,000","$1,150,000","$1,150,000","$28,184,020","$1,267,215","$16,213,540","$3,625,000","$49,289,775"
PA-016,EAST HIRAM PARKWAY,Paulding County,2020,GRTA,0,4,2.9,0004688,"FROM INTERSECTION OF SR 92 (HIRAM DOUGLASVILLE HIGHWAY) AND BILL CARRUTH PARKWAY TO US 278 (JIMMY LEE SMITH PARKWAY) AT CLEBURNE PARKWAY / POPLAR SPRINGS ROAD [See also 0008805, 0008806, 0008807]",Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,ROW,AUTH,2009,Federal Earmark Funding,"$992,000","$248,000","$0,000","$0,000","$1,240,000","$28,184,020","$1,267,215","$16,213,540","$3,625,000","$49,289,775"
PA-016,EAST HIRAM PARKWAY,Paulding County,2020,GRTA,0,4,2.9,0004688,"FROM INTERSECTION OF SR 92 (HIRAM DOUGLASVILLE HIGHWAY) AND BILL CARRUTH PARKWAY TO US 278 (JIMMY LEE SMITH PARKWAY) AT CLEBURNE PARKWAY / POPLAR SPRINGS ROAD [See also 0008805, 0008806, 0008807]",Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,ROW,AUTH,2009,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$14,100,000","$0,000","$14,100,000","$28,184,020","$1,267,215","$16,213,540","$3,625,000","$49,289,775"
PA-016,EAST HIRAM PARKWAY,Paulding County,2020,GRTA,0,4,2.9,0004688,"FROM INTERSECTION OF SR 92 (HIRAM DOUGLASVILLE HIGHWAY) AND BILL CARRUTH PARKWAY TO US 278 (JIMMY LEE SMITH PARKWAY) AT CLEBURNE PARKWAY / POPLAR SPRINGS ROAD [See also 0008805, 0008806, 0008807]",Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,ROW,AUTH,2009,SAFETEA-LU Earmark,"$1,600,000","$400,000","$0,000","$0,000","$2,000,000","$28,184,020","$1,267,215","$16,213,540","$3,625,000","$49,289,775"
PA-016,EAST HIRAM PARKWAY,Paulding County,2020,GRTA,0,4,2.9,0004688,"FROM INTERSECTION OF SR 92 (HIRAM DOUGLASVILLE HIGHWAY) AND BILL CARRUTH PARKWAY TO US 278 (JIMMY LEE SMITH PARKWAY) AT CLEBURNE PARKWAY / POPLAR SPRINGS ROAD [See also 0008805, 0008806, 0008807]",Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,ROW,AUTH,2009,State Bonds,"$0,000","$0,000","$0,000","$2,475,000","$2,475,000","$28,184,020","$1,267,215","$16,213,540","$3,625,000","$49,289,775"
PA-016,EAST HIRAM PARKWAY,Paulding County,2020,GRTA,0,4,2.9,0004688,"FROM INTERSECTION OF SR 92 (HIRAM DOUGLASVILLE HIGHWAY) AND BILL CARRUTH PARKWAY TO US 278 (JIMMY LEE SMITH PARKWAY) AT CLEBURNE PARKWAY / POPLAR SPRINGS ROAD [See also 0008805, 0008806, 0008807]",Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,  ,2011,ARRA - Statewide Flexible (GDOT),"$14,661,000","$0,000","$0,000","$0,000","$14,661,000","$28,184,020","$1,267,215","$16,213,540","$3,625,000","$49,289,775"
PA-016,EAST HIRAM PARKWAY,Paulding County,2020,GRTA,0,4,2.9,0004688,"FROM INTERSECTION OF SR 92 (HIRAM DOUGLASVILLE HIGHWAY) AND BILL CARRUTH PARKWAY TO US 278 (JIMMY LEE SMITH PARKWAY) AT CLEBURNE PARKWAY / POPLAR SPRINGS ROAD [See also 0008805, 0008806, 0008807]",Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,  ,2011,Federal Earmark Funding,"$992,000","$248,000","$0,000","$0,000","$1,240,000","$28,184,020","$1,267,215","$16,213,540","$3,625,000","$49,289,775"
PA-016,EAST HIRAM PARKWAY,Paulding County,2020,GRTA,0,4,2.9,0004688,"FROM INTERSECTION OF SR 92 (HIRAM DOUGLASVILLE HIGHWAY) AND BILL CARRUTH PARKWAY TO US 278 (JIMMY LEE SMITH PARKWAY) AT CLEBURNE PARKWAY / POPLAR SPRINGS ROAD [See also 0008805, 0008806, 0008807]",Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,  ,2011,STP - Statewide Flexible (GDOT),"$8,454,160","$0,000","$2,113,540","$0,000","$10,567,700","$28,184,020","$1,267,215","$16,213,540","$3,625,000","$49,289,775"
PA-016,EAST HIRAM PARKWAY,Paulding County,2020,GRTA,0,4,2.9,0004688,"FROM INTERSECTION OF SR 92 (HIRAM DOUGLASVILLE HIGHWAY) AND BILL CARRUTH PARKWAY TO US 278 (JIMMY LEE SMITH PARKWAY) AT CLEBURNE PARKWAY / POPLAR SPRINGS ROAD [See also 0008805, 0008806, 0008807]",Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,  ,2011,SAFETEA-LU Earmark,"$359,960","$89,990","$0,000","$0,000","$449,950","$28,184,020","$1,267,215","$16,213,540","$3,625,000","$49,289,775"
PA-016,EAST HIRAM PARKWAY,Paulding County,2020,GRTA,0,4,2.9,0004688,"FROM INTERSECTION OF SR 92 (HIRAM DOUGLASVILLE HIGHWAY) AND BILL CARRUTH PARKWAY TO US 278 (JIMMY LEE SMITH PARKWAY) AT CLEBURNE PARKWAY / POPLAR SPRINGS ROAD [See also 0008805, 0008806, 0008807]",Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,  ,2011,SAFETEA-LU Earmark,"$899,900","$224,975","$0,000","$0,000","$1,124,875","$28,184,020","$1,267,215","$16,213,540","$3,625,000","$49,289,775"
