ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-5307-FA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FAYETTE COUNTY,Fayette County,2020,Fayette County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Transit Urbanized Area Formula Program,"$319,545","$0,000","$79,886","$0,000","$399,431","$2,760,568","$0,000","$690,141","$0,000","$3,450,709"
AR-5307-FA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FAYETTE COUNTY,Fayette County,2020,Fayette County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Transit Urbanized Area Formula Program,"$108,589","$0,000","$27,147","$0,000","$135,736","$2,760,568","$0,000","$690,141","$0,000","$3,450,709"
AR-5307-FA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FAYETTE COUNTY,Fayette County,2020,Fayette County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Transit Urbanized Area Formula Program,"$313,526","$0,000","$78,381","$0,000","$391,907","$2,760,568","$0,000","$690,141","$0,000","$3,450,709"
AR-5307-FA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FAYETTE COUNTY,Fayette County,2020,Fayette County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Transit Urbanized Area Formula Program,"$0,000","$0,000","$0,000","$0,000","$0,000","$2,760,568","$0,000","$690,141","$0,000","$3,450,709"
AR-5307-FA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FAYETTE COUNTY,Fayette County,2020,Fayette County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Transit Urbanized Area Formula Program,"$326,192","$0,000","$81,548","$0,000","$407,740","$2,760,568","$0,000","$690,141","$0,000","$3,450,709"
AR-5307-FA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FAYETTE COUNTY,Fayette County,2020,Fayette County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Transit Urbanized Area Formula Program,"$332,716","$0,000","$83,179","$0,000","$415,895","$2,760,568","$0,000","$690,141","$0,000","$3,450,709"
AR-5307-FA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FAYETTE COUNTY,Fayette County,2020,Fayette County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Transit Urbanized Area Formula Program,"$340,000","$0,000","$85,000","$0,000","$425,000","$2,760,568","$0,000","$690,141","$0,000","$3,450,709"
AR-5307-FA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FAYETTE COUNTY,Fayette County,2020,Fayette County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Transit Urbanized Area Formula Program,"$340,000","$0,000","$85,000","$0,000","$425,000","$2,760,568","$0,000","$690,141","$0,000","$3,450,709"
AR-5307-FA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FAYETTE COUNTY,Fayette County,2020,Fayette County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Transit Urbanized Area Formula Program,"$340,000","$0,000","$85,000","$0,000","$425,000","$2,760,568","$0,000","$690,141","$0,000","$3,450,709"
AR-5307-FA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR FAYETTE COUNTY,Fayette County,2020,Fayette County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,Transit Urbanized Area Formula Program,"$340,000","$0,000","$85,000","$0,000","$425,000","$2,760,568","$0,000","$690,141","$0,000","$3,450,709"
