ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-5307-M,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR MARTA AND FLEXED FHWA FUNDS PURPOSED FOR SECTION 5307/5340 ELIGIBLE PROJECTS,Regional - Central,2020,MARTA,N/A,N/A,N/A,0010221,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Transit Urbanized Area Formula Program,"$41,888,950","$0,000","$10,472,238","$0,000","$52,361,188","$453,393,173","$0,000","$113,348,293","$0,000","$566,741,466"
AR-5307-M,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR MARTA AND FLEXED FHWA FUNDS PURPOSED FOR SECTION 5307/5340 ELIGIBLE PROJECTS,Regional - Central,2020,MARTA,N/A,N/A,N/A,0010221,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Transit Urbanized Area Formula Program,"$33,209,088","$0,000","$8,302,272","$0,000","$41,511,360","$453,393,173","$0,000","$113,348,293","$0,000","$566,741,466"
AR-5307-M,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR MARTA AND FLEXED FHWA FUNDS PURPOSED FOR SECTION 5307/5340 ELIGIBLE PROJECTS,Regional - Central,2020,MARTA,N/A,N/A,N/A,0010221,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Transit Urbanized Area Formula Program,"$39,576,111","$0,000","$9,894,028","$0,000","$49,470,139","$453,393,173","$0,000","$113,348,293","$0,000","$566,741,466"
AR-5307-M,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR MARTA AND FLEXED FHWA FUNDS PURPOSED FOR SECTION 5307/5340 ELIGIBLE PROJECTS,Regional - Central,2020,MARTA,N/A,N/A,N/A,0010221,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Transit Urbanized Area Formula Program,"$47,209,459","$0,000","$11,802,365","$0,000","$59,011,824","$453,393,173","$0,000","$113,348,293","$0,000","$566,741,466"
AR-5307-M,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR MARTA AND FLEXED FHWA FUNDS PURPOSED FOR SECTION 5307/5340 ELIGIBLE PROJECTS,Regional - Central,2020,MARTA,N/A,N/A,N/A,0010221,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,STP - Urban (>200K) (ARC),"$40,336,094","$0,000","$10,084,023","$0,000","$50,420,117","$453,393,173","$0,000","$113,348,293","$0,000","$566,741,466"
AR-5307-M,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR MARTA AND FLEXED FHWA FUNDS PURPOSED FOR SECTION 5307/5340 ELIGIBLE PROJECTS,Regional - Central,2020,MARTA,N/A,N/A,N/A,0010221,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Transit Urbanized Area Formula Program,"$41,174,986","$0,000","$10,293,746","$0,000","$51,468,732","$453,393,173","$0,000","$113,348,293","$0,000","$566,741,466"
AR-5307-M,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR MARTA AND FLEXED FHWA FUNDS PURPOSED FOR SECTION 5307/5340 ELIGIBLE PROJECTS,Regional - Central,2020,MARTA,N/A,N/A,N/A,0010221,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Transit Urbanized Area Formula Program,"$41,998,485","$0,000","$10,499,621","$0,000","$52,498,106","$453,393,173","$0,000","$113,348,293","$0,000","$566,741,466"
AR-5307-M,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR MARTA AND FLEXED FHWA FUNDS PURPOSED FOR SECTION 5307/5340 ELIGIBLE PROJECTS,Regional - Central,2020,MARTA,N/A,N/A,N/A,0010221,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Transit Urbanized Area Formula Program,"$42,000,000","$0,000","$10,500,000","$0,000","$52,500,000","$453,393,173","$0,000","$113,348,293","$0,000","$566,741,466"
AR-5307-M,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR MARTA AND FLEXED FHWA FUNDS PURPOSED FOR SECTION 5307/5340 ELIGIBLE PROJECTS,Regional - Central,2020,MARTA,N/A,N/A,N/A,0010221,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Transit Urbanized Area Formula Program,"$42,000,000","$0,000","$10,500,000","$0,000","$52,500,000","$453,393,173","$0,000","$113,348,293","$0,000","$566,741,466"
AR-5307-M,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR MARTA AND FLEXED FHWA FUNDS PURPOSED FOR SECTION 5307/5340 ELIGIBLE PROJECTS,Regional - Central,2020,MARTA,N/A,N/A,N/A,0010221,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Transit Urbanized Area Formula Program,"$42,000,000","$0,000","$10,500,000","$0,000","$52,500,000","$453,393,173","$0,000","$113,348,293","$0,000","$566,741,466"
