ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-5307-NE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR NEWTON COUNTY,Newton County,2020,Newton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Transit Urbanized Area Formula Program,"$153,485","$0,000","$38,371","$0,000","$191,856","$1,389,718","$0,000","$347,429","$0,000","$1,737,147"
AR-5307-NE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR NEWTON COUNTY,Newton County,2020,Newton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Transit Urbanized Area Formula Program,"$129,150","$0,000","$32,288","$0,000","$161,438","$1,389,718","$0,000","$347,429","$0,000","$1,737,147"
AR-5307-NE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR NEWTON COUNTY,Newton County,2020,Newton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Transit Urbanized Area Formula Program,"$150,594","$0,000","$37,648","$0,000","$188,242","$1,389,718","$0,000","$347,429","$0,000","$1,737,147"
AR-5307-NE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR NEWTON COUNTY,Newton County,2020,Newton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Transit Urbanized Area Formula Program,"$0,000","$0,000","$0,000","$0,000","$0,000","$1,389,718","$0,000","$347,429","$0,000","$1,737,147"
AR-5307-NE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR NEWTON COUNTY,Newton County,2020,Newton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Transit Urbanized Area Formula Program,"$156,678","$0,000","$39,169","$0,000","$195,847","$1,389,718","$0,000","$347,429","$0,000","$1,737,147"
AR-5307-NE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR NEWTON COUNTY,Newton County,2020,Newton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Transit Urbanized Area Formula Program,"$159,811","$0,000","$39,953","$0,000","$199,764","$1,389,718","$0,000","$347,429","$0,000","$1,737,147"
AR-5307-NE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR NEWTON COUNTY,Newton County,2020,Newton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Transit Urbanized Area Formula Program,"$160,000","$0,000","$40,000","$0,000","$200,000","$1,389,718","$0,000","$347,429","$0,000","$1,737,147"
AR-5307-NE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR NEWTON COUNTY,Newton County,2020,Newton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Transit Urbanized Area Formula Program,"$160,000","$0,000","$40,000","$0,000","$200,000","$1,389,718","$0,000","$347,429","$0,000","$1,737,147"
AR-5307-NE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR NEWTON COUNTY,Newton County,2020,Newton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Transit Urbanized Area Formula Program,"$160,000","$0,000","$40,000","$0,000","$200,000","$1,389,718","$0,000","$347,429","$0,000","$1,737,147"
AR-5307-NE,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR NEWTON COUNTY,Newton County,2020,Newton County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,Transit Urbanized Area Formula Program,"$160,000","$0,000","$40,000","$0,000","$200,000","$1,389,718","$0,000","$347,429","$0,000","$1,737,147"
