ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-5307-PA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR PAULDING COUNTY,Paulding County,2020,Paulding County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Transit Urbanized Area Formula Program,"$215,608","$0,000","$53,902","$0,000","$269,510","$2,255,571","$0,000","$563,894","$0,000","$2,819,465"
AR-5307-PA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR PAULDING COUNTY,Paulding County,2020,Paulding County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Transit Urbanized Area Formula Program,"$181,422","$0,000","$45,356","$0,000","$226,778","$2,255,571","$0,000","$563,894","$0,000","$2,819,465"
AR-5307-PA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR PAULDING COUNTY,Paulding County,2020,Paulding County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Transit Urbanized Area Formula Program,"$211,547","$0,000","$52,887","$0,000","$264,434","$2,255,571","$0,000","$563,894","$0,000","$2,819,465"
AR-5307-PA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR PAULDING COUNTY,Paulding County,2020,Paulding County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Transit Urbanized Area Formula Program,"$242,406","$0,000","$60,602","$0,000","$303,008","$2,255,571","$0,000","$563,894","$0,000","$2,819,465"
AR-5307-PA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR PAULDING COUNTY,Paulding County,2020,Paulding County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Transit Urbanized Area Formula Program,"$220,093","$0,000","$55,023","$0,000","$275,116","$2,255,571","$0,000","$563,894","$0,000","$2,819,465"
AR-5307-PA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR PAULDING COUNTY,Paulding County,2020,Paulding County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Transit Urbanized Area Formula Program,"$224,495","$0,000","$56,124","$0,000","$280,619","$2,255,571","$0,000","$563,894","$0,000","$2,819,465"
AR-5307-PA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR PAULDING COUNTY,Paulding County,2020,Paulding County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,Transit Urbanized Area Formula Program,"$240,000","$0,000","$60,000","$0,000","$300,000","$2,255,571","$0,000","$563,894","$0,000","$2,819,465"
AR-5307-PA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR PAULDING COUNTY,Paulding County,2020,Paulding County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Transit Urbanized Area Formula Program,"$240,000","$0,000","$60,000","$0,000","$300,000","$2,255,571","$0,000","$563,894","$0,000","$2,819,465"
AR-5307-PA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR PAULDING COUNTY,Paulding County,2020,Paulding County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,Transit Urbanized Area Formula Program,"$240,000","$0,000","$60,000","$0,000","$300,000","$2,255,571","$0,000","$563,894","$0,000","$2,819,465"
AR-5307-PA,FTA SECTION 5307/5340 FORMULA FUNDS ALLOCATION FOR PAULDING COUNTY,Paulding County,2020,Paulding County,N/A,N/A,N/A,N/A,,Programmed,Transit / Formula Lump Sum,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,Transit Urbanized Area Formula Program,"$240,000","$0,000","$60,000","$0,000","$300,000","$2,255,571","$0,000","$563,894","$0,000","$2,819,465"
