ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-001-2013,LIVABLE CENTERS INITIATIVE (LCI) PLANNING PROGRAM - FY 2013,Regional,2016,ARC,N/A,N/A,N/A,0010459,,Programmed,Other / LCI Program,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2013,STP - Urban (>200K) (ARC),"$1,000,000","$0,000","$250,000","$0,000","$1,250,000","$1,000,000","$0,000","$250,000","$0,000","$1,250,000"
AR-001-2014,LIVABLE CENTERS INITIATIVE (LCI) PLANNING PROGRAM - FY 2014,Regional,2016,ARC,N/A,N/A,N/A,0010460,,Programmed,Other / LCI Program,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2014,STP - Urban (>200K) (ARC),"$1,000,000","$0,000","$250,000","$0,000","$1,250,000","$1,000,000","$0,000","$250,000","$0,000","$1,250,000"
AR-001-2015,LIVABLE CENTERS INITIATIVE (LCI) PLANNING PROGRAM - FY 2015,Regional,2016,ARC,N/A,N/A,N/A,0010461,,Programmed,Other / LCI Program,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2015,STP - Urban (>200K) (ARC),"$1,000,000","$0,000","$250,000","$0,000","$1,250,000","$1,000,000","$0,000","$250,000","$0,000","$1,250,000"
AR-001-2016,LIVABLE CENTERS INITIATIVE (LCI) PLANNING PROGRAM - FY 2016,Regional,2020,ARC,N/A,N/A,N/A,0010462,,Programmed,Other / LCI Program,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2016,STP - Urban (>200K) (ARC),"$1,000,000","$0,000","$250,000","$0,000","$1,250,000","$1,000,000","$0,000","$250,000","$0,000","$1,250,000"
AR-001-2017,LIVABLE CENTERS INITIATIVE (LCI) PLANNING PROGRAM - FY 2017,Regional,2020,ARC,N/A,N/A,N/A,0010463,,Programmed,Other / LCI Program,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2017,STP - Urban (>200K) (ARC),"$1,000,000","$0,000","$250,000","$0,000","$1,250,000","$1,000,000","$0,000","$250,000","$0,000","$1,250,000"
AR-002-2013,LIVABLE CENTERS INITATIVE (LCI) IMPLEMENTATION PROGRAM - FY 2013,Regional,2016,ARC,N/A,N/A,N/A,TBD,,Programmed,Other / LCI Program,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2013,STP - Urban (>200K) (ARC),"$23,550,768","$0,000","$5,887,692","$0,000","$29,438,460","$23,550,768","$0,000","$5,887,692","$0,000","$29,438,460"
AR-002-2014,LIVABLE CENTERS INITATIVE (LCI) IMPLEMENTATION PROGRAM - FY 2014,Regional,2016,ARC,N/A,N/A,N/A,TBD,,Programmed,Other / LCI Program,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2014,STP - Urban (>200K) (ARC),"$3,799,757","$0,000","$949,939","$0,000","$4,749,696","$3,799,757","$0,000","$949,939","$0,000","$4,749,696"
AR-002-2015,LIVABLE CENTERS INITATIVE (LCI) IMPLEMENTATION PROGRAM - FY 2015,Regional,2016,ARC,N/A,N/A,N/A,TBD,,Programmed,Other / LCI Program,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,STP - Urban (>200K) (ARC),"$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000"
AR-002-2016,LIVABLE CENTERS INITATIVE (LCI) IMPLEMENTATION PROGRAM - FY 2016,Regional,2020,ARC,N/A,N/A,N/A,TBD,,Programmed,Other / LCI Program,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2016,STP - Urban (>200K) (ARC),"$5,766,629","$0,000","$1,441,657","$0,000","$7,208,286","$5,766,629","$0,000","$1,441,657","$0,000","$7,208,286"
AR-002-2017,LIVABLE CENTERS INITATIVE (LCI) IMPLEMENTATION PROGRAM - FY 2017,Regional,2020,ARC,N/A,N/A,N/A,TBD,,Programmed,Other / LCI Program,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2017,STP - Urban (>200K) (ARC),"$15,060,200","$0,000","$3,765,050","$0,000","$18,825,250","$15,060,200","$0,000","$3,765,050","$0,000","$18,825,250"
AR-004-2013,COUNTY COMPREHENSIVE TRANSPORTATION PLAN (CTP) ASSISTANCE PROGRAM - FY 2013,Regional,2016,ARC,N/A,N/A,N/A,0008733,,Programmed,Other / Planning,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2013,STP - Urban (>200K) (ARC),"$2,000,000","$0,000","$500,000","$0,000","$2,500,000","$2,000,000","$0,000","$500,000","$0,000","$2,500,000"
AR-004-2014,COUNTY COMPREHENSIVE TRANSPORTATION PLAN (CTP) ASSISTANCE PROGRAM - FY 2014,Regional,2016,ARC,N/A,N/A,N/A,0010464,,Programmed,Other / Planning,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2014,STP - Urban (>200K) (ARC),"$2,750,000","$0,000","$687,500","$0,000","$3,437,500","$2,750,000","$0,000","$687,500","$0,000","$3,437,500"
AR-004-2015,COUNTY COMPREHENSIVE TRANSPORTATION PLAN (CTP) ASSISTANCE PROGRAM - FY 2015,Regional,2016,ARC,N/A,N/A,N/A,0010465,,Programmed,Other / Planning,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2015,STP - Urban (>200K) (ARC),"$500,000","$0,000","$125,000","$0,000","$625,000","$500,000","$0,000","$125,000","$0,000","$625,000"
AR-004-2016,COUNTY COMPREHENSIVE TRANSPORTATION PLAN (CTP) ASSISTANCE PROGRAM - FY 2016,Regional,2020,ARC,N/A,N/A,N/A,0010466,,Programmed,Other / Planning,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2016,STP - Urban (>200K) (ARC),"$1,750,000","$0,000","$437,500","$0,000","$2,187,500","$1,750,000","$0,000","$437,500","$0,000","$2,187,500"
AR-004-2017,COUNTY COMPREHENSIVE TRANSPORTATION PLAN (CTP) ASSISTANCE PROGRAM - FY 2017,Regional,2020,ARC,N/A,N/A,N/A,0010467,,Programmed,Other / Planning,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2017,STP - Urban (>200K) (ARC),"$1,500,000","$0,000","$375,000","$0,000","$1,875,000","$1,500,000","$0,000","$375,000","$0,000","$1,875,000"
AR-005-2013,MULTIMODAL CORRIDOR SCOPING AND CONCEPT DESIGN STUDIES PROGRAM - FY 2013,Regional,2016,TBD,N/A,N/A,N/A,0008735,,Programmed,Other / Planning,Exempt from Air Quality Analysis (40 CFR 93),SCP,  ,2013,STP - Urban (>200K) (ARC),"$8,000,000","$0,000","$2,000,000","$0,000","$10,000,000","$8,000,000","$0,000","$2,000,000","$0,000","$10,000,000"
AR-005-2016,MULTIMODAL CORRIDOR SCOPING AND CONCEPT DESIGN STUDIES PROGRAM - FY 2016,Regional,2020,TBD,N/A,N/A,N/A,0010546,,Programmed,Other / Planning,Exempt from Air Quality Analysis (40 CFR 93),SCP,  ,2016,STP - Urban (>200K) (ARC),"$8,000,000","$0,000","$2,000,000","$0,000","$10,000,000","$8,000,000","$0,000","$2,000,000","$0,000","$10,000,000"
AR-010-2014,TRANSPORTATION DEMAND MANAGEMENT (TDM) EMPLOYER SERVICES PROGRAM - FY 2014,Regional,2016,TBD,N/A,N/A,N/A,0010934,,Programmed,Other / TDM & Air Quality,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2014,Congestion Mitigation and Air Quality,"$3,200,000","$0,000","$800,000","$0,000","$4,000,000","$3,200,000","$0,000","$800,000","$0,000","$4,000,000"
AR-010-2016,TRANSPORTATION DEMAND MANAGEMENT (TDM) EMPLOYER SERVICES PROGRAM - FY 2016,Regional,2020,TBD,N/A,N/A,N/A,0010935,,Programmed,Other / TDM & Air Quality,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2016,Congestion Mitigation and Air Quality,"$3,200,000","$0,000","$800,000","$0,000","$4,000,000","$3,200,000","$0,000","$800,000","$0,000","$4,000,000"
AR-011-2013,RIDESHARING AND REGIONAL TRANSPORTATION DEMAND MANAGEMENT (TDM) PROGRAMS - FY 2013-2015,Regional,2016,TBD,N/A,N/A,N/A,0008741,,Programmed,Other / TDM & Air Quality,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2013,Congestion Mitigation/Air Quality (100%),"$6,150,000","$0,000","$0,000","$0,000","$6,150,000","$6,150,000","$0,000","$0,000","$0,000","$6,150,000"
AR-011-2016,RIDESHARING AND REGIONAL TRANSPORTATION DEMAND MANAGEMENT (TDM) PROGRAMS - FY 2016-2018,Regional,2020,TBD,N/A,N/A,N/A,0010500,,Programmed,Other / TDM & Air Quality,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2016,Congestion Mitigation/Air Quality (100%),"$6,150,000","$0,000","$0,000","$0,000","$6,150,000","$6,150,000","$0,000","$0,000","$0,000","$6,150,000"
AR-021-2013,REGIONAL PLANNING PROGRAM ASSISTANCE - FY 2013,Regional,2016,ARC,N/A,N/A,N/A,0010512,,Programmed,Other / Planning,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2013,STP - Urban (>200K) (ARC),"$500,000","$0,000","$125,000","$0,000","$625,000","$500,000","$0,000","$125,000","$0,000","$625,000"
AR-023A,NORTHWEST CORRIDOR TRANSIT ENVIRONMENTAL IMPACT STATEMENT,Regional - Northwest,2016,Cobb County,N/A,N/A,N/A,0010930,,Completed,Other / Planning,Exempt from Air Quality Analysis (40 CFR 93),PE,AUTH,2012,STP - Urban (>200K) (ARC),"$1,266,667","$0,000","$433,333","$0,000","$1,700,000","$1,266,667","$0,000","$433,333","$0,000","$1,700,000"
AR-023B,CLIFTON CORRIDOR ENVIRONMENTAL IMPACT STATEMENT ,Regional - Central,2016,MARTA,N/A,N/A,N/A,0010931,,Completed,Other / Planning,Exempt from Air Quality Analysis (40 CFR 93),PE,AUTH,2012,STP - Urban (>200K) (ARC),"$1,266,666","$0,000","$2,733,334","$0,000","$4,000,000","$1,266,666","$0,000","$2,733,334","$0,000","$4,000,000"
AR-023C,ATLANTA BELTLINE AND DOWNTOWN STREETCAR EXTENSION TIER 2 ENVIRONMENTAL REVIEWS/DETAILED CORRIDOR ANALYSES,Regional - Central,2016,ARC,N/A,N/A,N/A,0010932,,Completed,Other / Planning,Exempt from Air Quality Analysis (40 CFR 93),PE,AUTH,2012,STP - Urban (>200K) (ARC),"$1,466,667","$0,000","$366,667","$0,000","$1,833,334","$1,466,667","$0,000","$366,667","$0,000","$1,833,334"
AR-023D,PIEDMONT ROAD-ROSWELL ROAD BUS RAPID TRANSIT ENVIRONMENTAL ASSESSMENT,Regional - Central,2016,ARC,N/A,N/A,N/A,0010933,,Programmed,Other / Planning,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2013,STP - Urban (>200K) (ARC),"$260,000","$0,000","$65,000","$0,000","$325,000","$260,000","$0,000","$65,000","$0,000","$325,000"
AR-026,GARVEE DEBT SERVICE / MODIFICATIONS,Regional,2016,GDOT,N/A,N/A,N/A,0006372,,Delete,Other / Miscellaneous,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,STP - Urban (>200K) (ARC),"$20,000,000","$5,000,000","$0,000","$0,000","$25,000,000","$20,000,000","$5,000,000","$0,000","$0,000","$25,000,000"
